Title,Price,Mileage,Location,Description,PublishedDate,Link,ImageURL,Brand,Model,Condition,Transmission,FuelType,EngineCapacity,Year
Honda Vezel For Rent,15000.0,,Gampaha,"Gampaha, Rentals",3 days,https://ikman.lk/en/ad/honda-vezel-for-rent-for-sale-gampaha-157,https://i.ikman-st.com/honda-vezel-for-rent-for-sale-gampaha-157/b9eeaf76-8836-47b6-9426-958f408ba519/142/107/cropped.jpg,,,,,,,
Bajaj Pulsar NS200 2019,870000.0,"50,000 km",Kalutara,"Kalutara, Motorbikes",just now,https://ikman.lk/en/ad/bajaj-pulsar-ns200-dual-channel-abs-2019-for-sale-kalutara,https://i.ikman-st.com/bajaj-pulsar-ns200-dual-channel-abs-2019-for-sale-kalutara/a247de50-f29e-45a6-861f-44b8f112a148/142/107/cropped.jpg,,,,,,,2019.0
Honda Vezel 2014,9475000.0,"112,000 km",Colombo,"Colombo, Cars",just now,https://ikman.lk/en/ad/honda-vezel-2014-for-sale-colombo-5780,https://i.ikman-st.com/honda-vezel-2014-for-sale-colombo-5780/b092ce6f-e577-4102-9861-ba88f4144124/142/107/cropped.jpg,,,,,,,2014.0
Bajaj RE 4 Stroke 2015,1650000.0,,Jaffna,"Jaffna, Three Wheelers",just now,https://ikman.lk/en/ad/bajaj-re-4-stroke-2015-for-sale-jaffna,https://i.ikman-st.com/bajaj-re-4-stroke-2015-for-sale-jaffna/63df862d-c03a-44de-b63a-41f24b03d546/142/107/cropped.jpg,,,,,,,2015.0
Honda City RS TURBO 1L VTEC 2025,13700000.0,0 km,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/honda-city-rs-turbo-1l-vtec-2025-for-sale-colombo,https://i.ikman-st.com/honda-city-rs-turbo-1l-vtec-2025-for-sale-colombo/f6d065e2-2845-45e6-9571-23f6001b8919/142/107/cropped.jpg,,,,,,,2025.0
Mitsubishi Strada 1996,6000000.0,"39,000 km",Colombo,"Colombo, Cars",3 minutes,https://ikman.lk/en/ad/mitsubishi-strada-1996-for-sale-colombo-1,https://i.ikman-st.com/mitsubishi-strada-1996-for-sale-colombo-1/a8b77654-f803-4cd8-aa28-2225d5f09203/142/107/cropped.jpg,,,,,,,1996.0
Lorry for Hire with Movers,88.0,,Colombo,"Colombo, Auto Services",4 minutes,https://ikman.lk/en/ad/lorry-for-hire-with-movers-for-sale-colombo-1870,https://i.ikman-st.com/lorry-for-hire-with-movers-for-sale-colombo-1870/57b94789-2b30-4e8e-96e1-4b21b717714f/142/107/cropped.jpg,,,,,,,
Lorry for Hire with Movers,88.0,,Gampaha,"Gampaha, Auto Services",8 minutes,https://ikman.lk/en/ad/lorry-for-hire-with-movers-for-sale-gampaha-272,https://i.ikman-st.com/lorry-for-hire-with-movers-for-sale-gampaha-272/5a3c4e21-3df9-4b8d-8c19-8655be5a69e5/142/107/cropped.jpg,,,,,,,
TVS Apache 200 2017,500000.0,"38,000 km",Colombo,"Colombo, Motorbikes",8 minutes,https://ikman.lk/en/ad/tvs-apache-200-2017-for-sale-colombo-322,https://i.ikman-st.com/tvs-apache-200-2017-for-sale-colombo-322/b9b97307-55c7-46da-aa3e-de5479338f30/142/107/cropped.jpg,,,,,,,2017.0
Bajaj RE Three Wheeler 2008,700000.0,,Matara,"Matara, Three Wheelers",10 minutes,https://ikman.lk/en/ad/bajaj-threewheeler-2008-for-sale-matara,https://i.ikman-st.com/bajaj-threewheeler-2008-for-sale-matara/d94cb466-68d6-4611-8ac5-9f42a6a16c74/142/107/cropped.jpg,,,,,,,2008.0
lorry for hire with movers,88.0,,Gampaha,"Gampaha, Auto Services",12 minutes,https://ikman.lk/en/ad/lorry-for-hire-with-movers-for-sale-gampaha-269,https://i.ikman-st.com/lorry-for-hire-with-movers-for-sale-gampaha-269/213df32a-a66b-4b96-a50e-f3e3e45223ab/142/107/cropped.jpg,,,,,,,
Toyota Land Cruiser Prado 250 Diesel 2024,78000000.0,"3,000 km",Colombo,"Colombo, Cars",13 minutes,https://ikman.lk/en/ad/toyota-land-cruiser-prado-250-diesel-2024-for-sale-colombo-25,https://i.ikman-st.com/toyota-land-cruiser-prado-250-diesel-2024-for-sale-colombo-25/257211f3-7270-481c-ba3f-76589b6dc780/142/107/cropped.jpg,,,,,,,2024.0
Lorry for Hire 14.5 Ft 10.5 with Movers -House Office Moving Services,88.0,,Colombo,"Colombo, Auto Services",13 minutes,https://ikman.lk/en/ad/lorry-for-hire-145-ft-105-with-movers-house-office-moving-services-for-sale-colombo-2,https://i.ikman-st.com/lorry-for-hire-145-ft-105-with-movers-house-office-moving-services-for-sale-colombo-2/6016f410-0660-4b1a-9cdf-1157c932043a/142/107/cropped.jpg,,,,,,,
Toyota CHR NGX 10 GT 2WD 2018,12550000.0,"98,000 km",Gampaha,"Gampaha, Cars",13 minutes,https://ikman.lk/en/ad/toyota-chr-ngx-10-gt-2wd-2018-for-sale-gampaha,https://i.ikman-st.com/toyota-chr-ngx-10-gt-2wd-2018-for-sale-gampaha/8682155f-f98c-4714-9717-f30179ce2bbf/142/107/cropped.jpg,,,,,,,2018.0
House Movers Lorry with Labours - Any Size/ Time,88.0,,Colombo,"Colombo, Auto Services",13 minutes,https://ikman.lk/en/ad/house-movers-lorry-with-labours-any-size-time-for-sale-colombo-23,https://i.ikman-st.com/house-movers-lorry-with-labours-any-size-time-for-sale-colombo-23/6fface94-0d36-4778-ae49-3f955085a066/142/107/cropped.jpg,,,,,,,
