Title,Price,Mileage,Location,Description,PublishedDate,Link,ImageURL,Year,Brand,Brand_Encoded,Location_Clean,Loc_Anuradhapura,Loc_Colombo,Loc_Galle,Loc_Gampaha,Loc_Jaffna,Loc_Kalutara,Loc_Kandy,Loc_Kegalle,Loc_Kurunegala,Loc_Other,Loc_Trincomalee,Price_Normalized,Mileage_Normalized
Bajaj Pulsar NS200 2019,870000.0,50000.0,Kalutara,"Kalutara, Motorbikes",just now,https://ikman.lk/en/ad/bajaj-pulsar-ns200-dual-channel-abs-2019-for-sale-kalutara,https://i.ikman-st.com/bajaj-pulsar-ns200-dual-channel-abs-2019-for-sale-kalutara/a247de50-f29e-45a6-861f-44b8f112a148/142/107/cropped.jpg,2019,Bajaj,10,Kalutara,False,False,False,False,False,True,False,False,False,False,False,0.0013796273550609737,0.06093563003785321
Honda Vezel 2014,9475000.0,112000.0,Colombo,"Colombo, Cars",just now,https://ikman.lk/en/ad/honda-vezel-2014-for-sale-colombo-5780,https://i.ikman-st.com/honda-vezel-2014-for-sale-colombo-5780/b092ce6f-e577-4102-9861-ba88f4144124/142/107/cropped.jpg,2014,Honda,25,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.015404566101543529,0.13649581128479119
Honda City RS TURBO 1L VTEC 2025,13700000.0,0.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/honda-city-rs-turbo-1l-vtec-2025-for-sale-colombo,https://i.ikman-st.com/honda-city-rs-turbo-1l-vtec-2025-for-sale-colombo/f6d065e2-2845-45e6-9571-23f6001b8919/142/107/cropped.jpg,2025,Honda,25,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.022290721383808353,0.0
Mitsubishi Strada 1996,6000000.0,39000.0,Colombo,"Colombo, Cars",3 minutes,https://ikman.lk/en/ad/mitsubishi-strada-1996-for-sale-colombo-1,https://i.ikman-st.com/mitsubishi-strada-1996-for-sale-colombo-1/a8b77654-f803-4cd8-aa28-2225d5f09203/142/107/cropped.jpg,1996,Mitsubishi,45,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.009740805248083113,0.04752979142952551
TVS Apache 200 2017,500000.0,38000.0,Colombo,"Colombo, Motorbikes",8 minutes,https://ikman.lk/en/ad/tvs-apache-200-2017-for-sale-colombo-322,https://i.ikman-st.com/tvs-apache-200-2017-for-sale-colombo-322/b9b97307-55c7-46da-aa3e-de5479338f30/142/107/cropped.jpg,2017,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.0007765794368507998,0.04631107882876844
Toyota Land Cruiser Prado 250 Diesel 2024,78000000.0,3000.0,Colombo,"Colombo, Cars",13 minutes,https://ikman.lk/en/ad/toyota-land-cruiser-prado-250-diesel-2024-for-sale-colombo-25,https://i.ikman-st.com/toyota-land-cruiser-prado-250-diesel-2024-for-sale-colombo-25/257211f3-7270-481c-ba3f-76589b6dc780/142/107/cropped.jpg,2024,Toyota,65,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.12709067041330613,0.003656137802271193
Toyota CHR NGX 10 GT 2WD 2018,12550000.0,98000.0,Gampaha,"Gampaha, Cars",13 minutes,https://ikman.lk/en/ad/toyota-chr-ngx-10-gt-2wd-2018-for-sale-gampaha,https://i.ikman-st.com/toyota-chr-ngx-10-gt-2wd-2018-for-sale-gampaha/8682155f-f98c-4714-9717-f30179ce2bbf/142/107/cropped.jpg,2018,Toyota,65,Gampaha,False,False,False,True,False,False,False,False,False,False,False,0.020416383259641596,0.1194338348741923
Bajaj Pulsar NS160 2018,700000.0,22639.0,Badulla,"Badulla, Motorbikes",14 minutes,https://ikman.lk/en/ad/bajaj-pulsar-ns160-2018-for-sale-badulla,https://i.ikman-st.com/bajaj-pulsar-ns160-2018-for-sale-badulla/02fca285-8c0a-40e2-9300-24c7bab4b584/142/107/cropped.jpg,2018,Bajaj,10,Other,False,False,False,False,False,False,False,False,False,True,False,0.0011025512845319748,0.027590434568539178
Jeep Compass Limited Edition 2019,16950000.0,46000.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/jeep-compass-limited-edition-2019-for-sale-colombo-1,https://i.ikman-st.com/jeep-compass-limited-edition-2019-for-sale-colombo-1/459a3251-f2a4-44de-9a5a-f9c345a73c6b/142/107/cropped.jpg,2019,Jeep,30,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.02758776390862745,0.056060779634824955
TVS Raider 125 2026,157000.0,0.0,Kalutara,"Kalutara, Motorbikes",11 days,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-153,https://i.ikman-st.com/tvs-raider-125-2026-for-sale-kalutara-153/6d67274d-9880-4b01-b18a-5ec4db175d02/142/107/cropped.jpg,2026,TVS,62,Kalutara,False,False,False,False,False,True,False,False,False,False,False,0.00021753771807758466,0.0
Toyota Aqua 2014,7600000.0,93000.0,Kalutara,"Kalutara, Cars",9 days,https://ikman.lk/en/ad/toyota-aqua-2014-for-sale-kalutara-220,https://i.ikman-st.com/toyota-aqua-2014-for-sale-kalutara-220/a8c02774-f6f6-4913-a8e7-6cb245e0a353/142/107/cropped.jpg,2014,Toyota,65,Kalutara,False,False,False,False,False,True,False,False,False,False,False,0.012348580029532513,0.11334027187040698
Toyota Land Cruiser LC79 2025,42000000.0,5000.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-land-cruiser-lc79-2025-for-sale-colombo,https://i.ikman-st.com/toyota-land-cruiser-lc79-2025-for-sale-colombo/a7dcd874-d686-440a-b7d2-bd7ce47454fc/142/107/cropped.jpg,2025,Toyota,65,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.06841573783069461,0.006093563003785322
TVS Ntorq 125 Brand New 2026,99700.0,0.0,Colombo,"Colombo, Motorbikes",bump_up,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-572,https://i.ikman-st.com/tvs-ntorq-125-brand-new-2026-for-sale-colombo-572/78968ee3-fe44-4e29-97c5-cf5232bbe961/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.00012414678371692805,0.0
Toyota Yaris Cross Z Body Kit SUV 2025,17350000.0,0.0,Gampaha,"Gampaha, Cars",bump_up,https://ikman.lk/en/ad/toyota-yaris-cross-z-body-kit-suv-2025-for-sale-gampaha-1,https://i.ikman-st.com/toyota-yaris-cross-z-body-kit-suv-2025-for-sale-gampaha-1/3340fd07-a37e-4c61-8cc8-7b16abc031be/142/107/cropped.jpg,2025,Toyota,65,Gampaha,False,False,False,True,False,False,False,False,False,False,False,0.0282397076039898,0.0
Toyota Yaris Ativ NIGHTSHADE 1.2 2TONE 2025,15975000.0,0.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-yaris-ativ-nightshade-12-2tone-2025-for-sale-colombo,https://i.ikman-st.com/toyota-yaris-ativ-nightshade-12-2tone-2025-for-sale-colombo/93135104-7b8e-428b-b1c0-51a84ae1c447/142/107/cropped.jpg,2025,Toyota,65,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.025998651151181718,0.0
Land Rover Range Autobiography LWB 2025,153000000.0,0.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/land-rover-range-autobiography-lwb-2025-for-sale-colombo-20,https://i.ikman-st.com/land-rover-range-autobiography-lwb-2025-for-sale-colombo-20/de4dbd7c-69a1-470b-8d6d-e90e662a46f9/142/107/cropped.jpg,2025,Land,35,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.24933011329374674,0.0
Honda PCX160 2022,1740000.0,120.0,Colombo,"Colombo, Motorbikes",bump_up,https://ikman.lk/en/ad/honda-pcx160-2022-for-sale-colombo-3,https://i.ikman-st.com/honda-pcx160-2022-for-sale-colombo-3/5f3b9a6c-8801-4b1e-b95f-e45f4e9d7d30/142/107/cropped.jpg,2022,Honda,25,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.002797604892474085,0.0001462455120908477
Suzuki Gixxer SF 2017,520000.0,49000.0,Kegalle,"Kegalle, Motorbikes",just now,https://ikman.lk/en/ad/suzuki-gixxer-sf-2017-for-sale-kegalle-2,https://i.ikman-st.com/suzuki-gixxer-sf-2017-for-sale-kegalle-2/368f2b28-501a-437d-bf38-ceb6965c7be6/142/107/cropped.jpg,2017,Suzuki,61,Kegalle,False,False,False,False,False,False,False,True,False,False,False,0.0008091766216189174,0.05971691743709615
Chery Tiggo 4 Pro 2025,9989000.0,0.0,Colombo,"Colombo, Cars",7 days,https://ikman.lk/en/ad/chery-tiggo-4-pro-2025-for-sale-colombo-7,https://i.ikman-st.com/chery-tiggo-4-pro-2025-for-sale-colombo-7/cc563d9b-34c4-4c6e-a032-338adcb59452/142/107/cropped.jpg,2025,Chery,13,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.01624231375008415,0.0
Tata Curvv 2025,10700000.0,11000.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/tata-curvv-2025-for-sale-colombo-1,https://i.ikman-st.com/tata-curvv-2025-for-sale-colombo-1/e250f998-df53-40c8-b08d-1ec19f3e78ec/142/107/cropped.jpg,2025,Tata,63,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.017401143668590725,0.013405838608327707
Toyota Yaris Ativ GR 1.5 HEV 2025,18300000.0,0.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-yaris-ativ-gr-15-hev-2025-for-sale-colombo-1,https://i.ikman-st.com/toyota-yaris-ativ-gr-15-hev-2025-for-sale-colombo-1/c71fd308-3308-438d-ae5c-7ea439330b76/142/107/cropped.jpg,2025,Toyota,65,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.02978807388047538,0.0
Toyota Axio G Grade 2009,7250000.0,155000.0,Colombo,"Colombo, Cars",20 days,https://ikman.lk/en/ad/toyota-axio-g-grand-2009-for-sale-colombo,https://i.ikman-st.com/toyota-axio-g-grand-2009-for-sale-colombo/a394059d-b925-4429-93d8-6f45e7f6e840/142/107/cropped.jpg,2009,Toyota,65,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.011778129296090456,0.18890045311734496
TVS Ntorq 125 2026,179900.0,0.0,Colombo,"Colombo, Motorbikes",bump_up,https://ikman.lk/en/ad/tvs-ntorq-125-2026-for-sale-colombo-490,https://i.ikman-st.com/tvs-ntorq-125-2026-for-sale-colombo-490/8c34e4e7-e395-43cc-a45e-0f993358b2a0/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.0002548614946370792,0.0
Bajaj CT100 Brand New Blue 2026,174000.0,0.0,Kurunegala,"Kurunegala, Motorbikes",6 days,https://ikman.lk/en/ad/bajaj-ct100-brand-new-blue-2026-for-sale-kurunegala,https://i.ikman-st.com/bajaj-ct100-brand-new-blue-2026-for-sale-kurunegala/8d16626c-a87c-49b7-9578-8a4be20bfd70/142/107/cropped.jpg,2026,Bajaj,10,Kurunegala,False,False,False,False,False,False,False,False,True,False,False,0.00024524532513048455,0.0
TVS Ntorq 125 Brand New 2026,199700.0,0.0,Colombo,"Colombo, Motorbikes",4 days,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-575,https://i.ikman-st.com/tvs-ntorq-125-brand-new-2026-for-sale-colombo-575/46656d67-20e9-4d76-beef-315eef63afad/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.0002871327075575155,0.0
TVS Ntorq 125 Brand New 2026,174900.0,0.0,Colombo,"Colombo, Motorbikes",4 days,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-574,https://i.ikman-st.com/tvs-ntorq-125-brand-new-2026-for-sale-colombo-574/26e5feb1-f929-4a6b-85b1-9d66f37725c5/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.00024671219844504984,0.0
TVS Raider 125 2026,156990.0,0.0,Colombo,"Colombo, Motorbikes",10 days,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-350,https://i.ikman-st.com/tvs-raider-125-2026-for-sale-colombo-350/a05a5e8f-dac3-4650-b474-f2807796964b/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.0002175214194852006,0.0
Toyota Vitz Safety Edition 2016,7350000.0,93193.0,Colombo,"Colombo, Cars",4 days,https://ikman.lk/en/ad/toyota-vitz-safety-edition-2016-for-sale-colombo-195,https://i.ikman-st.com/toyota-vitz-safety-edition-2016-for-sale-colombo-195/578c7336-bb2a-4f5c-a88e-2f9a379702ad/142/107/cropped.jpg,2016,Toyota,65,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.011941115219931044,0.11357548340235309
Hero Hunk 2014,360000.0,166380.0,Anuradhapura,"Anuradhapura, Motorbikes",just now,https://ikman.lk/en/ad/hero-hunk-g-2014-for-sale-anuradhapura,https://i.ikman-st.com/hero-hunk-g-2014-for-sale-anuradhapura/a6914111-ca50-48cd-b281-552b9c040112/142/107/cropped.jpg,2014,Hero,23,Anuradhapura,True,False,False,False,False,False,False,False,False,False,False,0.0005483991434739774,0.20276940251396036
Ford Kuga SUV 2015,11800000.0,134000.0,Colombo,"Colombo, Cars",21 days,https://ikman.lk/en/ad/ford-kuga-suv-2015-for-sale-colombo-1,https://i.ikman-st.com/ford-kuga-suv-2015-for-sale-colombo-1/a575157f-4ef1-4805-84d6-507082032cf1/142/107/cropped.jpg,2015,Ford,21,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.01919398883083719,0.1633074885014466
TVS Ntorq 125 Brand New 2026,158500.0,0.0,Colombo,"Colombo, Motorbikes",8 hours,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-566,https://i.ikman-st.com/tvs-ntorq-125-brand-new-2026-for-sale-colombo-566/78ed2404-be7d-48e4-840f-cce09bf7e9df/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.00021998250693519347,0.0
TVS Sport 110 2026,131100.0,0.0,Colombo,"Colombo, Motorbikes",7 days,https://ikman.lk/en/ad/tvs-sport-110-2026-for-sale-colombo-300,https://i.ikman-st.com/tvs-sport-110-2026-for-sale-colombo-300/e868ddb4-856d-4877-81e9-c979c90894d1/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.00017532436380287252,0.0
Toyota Premio G Superior 2018,14900000.0,101223.0,Colombo,"Colombo, Cars",25 days,https://ikman.lk/en/ad/toyota-premio-g-superior-2018-for-sale-colombo-1075,https://i.ikman-st.com/toyota-premio-g-superior-2018-for-sale-colombo-1075/9860244d-e26f-4f59-abb7-83e08325feca/142/107/cropped.jpg,2018,Toyota,65,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.0242465524698954,0.12336174558643231
BMW X2 M35i Coupe SUV 2025,69000000.0,1000.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/bmw-x2-m35i-coupe-suv-2025-for-sale-colombo,https://i.ikman-st.com/bmw-x2-m35i-coupe-suv-2025-for-sale-colombo/74fa2690-ef56-4936-bfa6-f37c08d00adb/142/107/cropped.jpg,2025,BMW,8,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.11242193726765325,0.0012187126007570644
Mini Cooper 2016,16200000.0,76800.0,Colombo,"Colombo, Cars",2 days,https://ikman.lk/en/ad/mini-cooper-2016-for-sale-colombo-33,https://i.ikman-st.com/mini-cooper-2016-for-sale-colombo-33/95a405b6-aefe-40e9-b133-3761485b336c/142/107/cropped.jpg,2016,Mini,44,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.02636536947982304,0.09359712773814254
TVS Sport 110 2026,129600.0,0.0,Colombo,"Colombo, Motorbikes",7 days,https://ikman.lk/en/ad/tvs-sport-110-2026-for-sale-colombo-301,https://i.ikman-st.com/tvs-sport-110-2026-for-sale-colombo-301/4ddfdf39-e03f-4b28-bbc0-a3cedfe223f3/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.0001728795749452637,0.0
Toyota Hilux REVO 2.8L MODELLISTA 2025,25800000.0,0.0,Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-hilux-revo-28l-modellista-2025-for-sale-colombo-1,https://i.ikman-st.com/toyota-hilux-revo-28l-modellista-2025-for-sale-colombo-1/f8334f4f-0a04-4c4e-9158-b19008fb56b5/142/107/cropped.jpg,2025,Toyota,65,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.04201201816851945,0.0
Nissan Pulsar 1993,2000000.0,375000.0,Colombo,"Colombo, Cars",9 days,https://ikman.lk/en/ad/nissan-pulsar-1993-for-sale-colombo,https://i.ikman-st.com/nissan-pulsar-1993-for-sale-colombo/bb0ac9e1-f5af-4779-a1ca-6a0b415ff983/142/107/cropped.jpg,1993,Nissan,48,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.0032213682944596126,0.4570172252838991
BMW 520i e39 1996,5600000.0,60000.0,Kandy,"Kandy, Cars",9 days,https://ikman.lk/en/ad/bmw-520i-e39-1996-for-sale-kandy,https://i.ikman-st.com/bmw-520i-e39-1996-for-sale-kandy/ac4ab7b5-791a-46af-816d-f0bc4eda13d3/142/107/cropped.jpg,1996,BMW,8,Kandy,False,False,False,False,False,False,True,False,False,False,False,0.009088861552720763,0.07312275604542386
TVS Ntorq 2026,55700.0,0.0,Colombo,"Colombo, Motorbikes",7 days,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-colombo-242,https://i.ikman-st.com/tvs-ntorq-2026-for-sale-colombo-242/eb44590d-7d22-44f0-be4a-e0658d046920/142/107/cropped.jpg,2026,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,5.243297722706954e-05,0.0
Kia Carens 2025,20000000.0,6440.0,Colombo,"Colombo, Cars",1 day,https://ikman.lk/en/ad/kia-carens-2025-for-sale-colombo-1,https://i.ikman-st.com/kia-carens-2025-for-sale-colombo-1/bb4b8e89-b417-477e-96bc-1434e6b4396c/142/107/cropped.jpg,2025,Kia,33,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.03255883458576537,0.007848509148875494
TVS Apache RTR 200 Race Edition 2019,790000.0,62000.0,Colombo,"Colombo, Motorbikes",2 minutes,https://ikman.lk/en/ad/tvs-apache-rtr-200-race-edition-2019-for-sale-colombo-10,https://i.ikman-st.com/tvs-apache-rtr-200-race-edition-2019-for-sale-colombo-10/40d0ebcc-6f3d-4275-9810-2c621c7d83a7/142/107/cropped.jpg,2019,TVS,62,Colombo,False,True,False,False,False,False,False,False,False,False,False,0.0012492386159885036,0.07556018124693799
